type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_15704546335	15704546335_249500419103465	https://www.facebook.com/FoxNews/videos/249500419103465/	"Cindy McCain lays her head on husband Senator John McCain s casket at a private ceremony at the Arizona State Capitol."	https://scontent.xx.fbcdn.net/v/t15.13418-10/s130x130/38699815_2108471466086081_215461677263486976_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=e02bde8c1b6703376104ba1d40d1295e&oe=5CC04521	https://scontent.xx.fbcdn.net/v/t15.13418-10/38699815_2108471466086081_215461677263486976_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=0c0e2828d4a49b92e389b8ceb238d565&oe=5CCF547B	https://www.facebook.com/FoxNews/videos/249500419103465/	facebook.com	2018-08-29T18:19:51+0000	1535566791	"2018-08-29 20:19:51"	2516	2997	6102	435	9534	499	99	29	2924	35	0
video	post_page_15704546335	15704546335_300846067137889	https://www.facebook.com/FoxNews/videos/300846067137889/	"Senator John McCain s motorcade en route to Arizona State Capitol. (Courtesy: KPHO)"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38087461_300864003802762_2794536289506951168_n.jpg?_nc_cat=100&_nc_ht=scontent.xx&oh=630fa511d4b8b547b30f27fc99a48aca&oe=5CCD97A0	https://scontent.xx.fbcdn.net/v/t15.5256-10/38087461_300864003802762_2794536289506951168_n.jpg?_nc_cat=100&_nc_ht=scontent.xx&oh=97a29e96c1716caad032c45bf09b3748&oe=5CD7AB52	https://www.facebook.com/FoxNews/videos/300846067137889/	facebook.com	2018-08-29T16:48:36+0000	1535561316	"2018-08-29 18:48:36"	2309	5173	4618	774	10565	772	181	35	1160	161	0
video	post_page_15704546335	15704546335_1875347842534481	https://www.facebook.com/FoxNews/videos/1875347842534481/	"U.S. Coast Guard and U.S. Navy bomb technicians are working to retrieve what looks like an unexploded mine that was spotted floating in the waters near Brownsville  Washington  according to Coast Guard officials.   (Courtesy: KOMO)"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38720815_1875364042532861_5484639676117549056_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=054946001f4be1adcb325956b50480f6&oe=5C8D2B71	https://scontent.xx.fbcdn.net/v/t15.5256-10/38720815_1875364042532861_5484639676117549056_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=b2a75d91a8d8a972a5a13d9b2990c9e5&oe=5CCD1B37	https://www.facebook.com/FoxNews/videos/1875347842534481/	facebook.com	2018-08-28T23:18:30+0000	1535498310	"2018-08-29 01:18:30"	3877	9065	9967	6074	25106	285	187	5469	64	85	0
video	post_page_15704546335	15704546335_256492008217795	https://www.facebook.com/FoxNews/videos/256492008217795/	"Secretary of Defense James Mattis and Chairman of the Joint Chiefs of Staff Marine Gen. Joseph F. Dunford Jr. brief the media in the Pentagon Briefing Room."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38076172_256525104881152_1605344301481459712_n.jpg?_nc_cat=101&_nc_ht=scontent.xx&oh=f66da37012307e33e91c0447c55908e4&oe=5CBB2D04	https://scontent.xx.fbcdn.net/v/t15.5256-10/38076172_256525104881152_1605344301481459712_n.jpg?_nc_cat=101&_nc_ht=scontent.xx&oh=729c0c148b8ed2246ec02344e0b1cf52&oe=5CD751F6	https://www.facebook.com/FoxNews/videos/256492008217795/	facebook.com	2018-08-28T13:59:52+0000	1535464792	"2018-08-28 15:59:52"	5221	6493	7628	1522	15643	2194	49	28	21	115	0
video	post_page_15704546335	15704546335_710823659271660	https://www.facebook.com/FoxNews/videos/710823659271660/	"The White House flags have been lowered to half-staff to honor Senator John McCain.  https://fxn.ws/2ogWyDS"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38953779_710830615937631_8839918615093313536_n.jpg?_nc_cat=100&_nc_ht=scontent.xx&oh=08a8eb8968cf666d4aa4a12b2b73b56c&oe=5CCA9E9B	https://scontent.xx.fbcdn.net/v/t15.5256-10/38953779_710830615937631_8839918615093313536_n.jpg?_nc_cat=100&_nc_ht=scontent.xx&oh=3d20b8dcc0b043efbe978914b6706595&oe=5CBC9069	https://www.facebook.com/FoxNews/videos/710823659271660/	facebook.com	2018-08-28T04:31:13+0000	1535430673	"2018-08-28 06:31:13"	1715	3024	2536	296	5856	376	71	25	98	251	0
video	post_page_15704546335	15704546335_294163647982124	https://www.facebook.com/FoxNews/videos/294163647982124/	"Greg Gutfeld on the life of John McCain."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38020550_294157161316106_5630517510181748736_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=26de903c6e87d0766c8ffc854357be9d&oe=5CBCC934	https://scontent.xx.fbcdn.net/v/t15.5256-10/38020550_294157161316106_5630517510181748736_n.jpg?_nc_cat=110&_nc_ht=scontent.xx&oh=dc7fa829ce74987a2514673bc9ad7b78&oe=5CD7E0C6	https://www.facebook.com/FoxNews/videos/294163647982124/	facebook.com	2018-08-27T21:46:27+0000	1535406387	"2018-08-27 23:46:27"	4960	4936	6440	1898	13274	264	410	85	84	637	0
video	post_page_15704546335	15704546335_944917802376848	https://www.facebook.com/FoxNews/videos/944917802376848/	"First Lady Melania Trump plants a sapling on the South Grounds of  The White House  which comes from the original Eisenhower Oak located near the Kennedy Garden."	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38536895_944929862375642_7853655366423281664_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=b366e693bdd71d12caeed5f43b5c9c7a&oe=5CC2C119	https://scontent.xx.fbcdn.net/v/t15.5256-10/38536895_944929862375642_7853655366423281664_n.jpg?_nc_cat=103&_nc_ht=scontent.xx&oh=8d71682c30d6488fc3f8466ec133dec9&oe=5CD548EB	https://www.facebook.com/FoxNews/videos/944917802376848/	facebook.com	2018-08-27T19:12:01+0000	1535397121	"2018-08-27 21:12:01"	7681	4519	10979	798	16296	3076	125	38	18	41	0
video	post_page_15704546335	15704546335_1821662601282874	https://www.facebook.com/FoxNews/videos/1821662601282874/	" There s a difference between surviving and thriving  and Sen. McCain showed me that the latter is much more fun and much more fulfilling.   Veterans advocateJohnny Joey Jones reflected on Sen. John McCain s impact on the military on  Fox & Friends.  https://bit.ly/2BO4GoH"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38102768_1821665524615915_6155990682784759808_n.jpg?_nc_cat=101&_nc_ht=scontent.xx&oh=d6b7941d86a2e543548ca4a7dfe82c94&oe=5CC9A321	https://scontent.xx.fbcdn.net/v/t15.5256-10/38102768_1821665524615915_6155990682784759808_n.jpg?_nc_cat=101&_nc_ht=scontent.xx&oh=e7c3917cc20b0dd10036bc3d929006e1&oe=5CD5C567	https://www.facebook.com/FoxNews/videos/1821662601282874/	facebook.com	2018-08-26T21:44:00+0000	1535319840	"2018-08-26 23:44:00"	557	1370	814	108	2292	52	138	11	23	33	0
video	post_page_15704546335	15704546335_238753490123536	https://www.facebook.com/FoxNews/videos/238753490123536/	"Flags at the Arizona State Capitol are lowered to half staff in honor of Senator John McCain. https://fxn.ws/2BI4XK1"	https://scontent.xx.fbcdn.net/v/t15.13418-10/p130x130/37838753_316354852449728_1171199120187064320_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=9d0599782d89d172a3f5b24cd190213e&oe=5CC5DE27	https://scontent.xx.fbcdn.net/v/t15.13418-10/37838753_316354852449728_1171199120187064320_n.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=47b002e9f120994404fb9fcead568556&oe=5CD4516E	https://www.facebook.com/FoxNews/videos/238753490123536/	facebook.com	2018-08-26T04:20:00+0000	1535257200	"2018-08-26 06:20:00"	1223	646	1819	162	2627	105	37	6	420	28	0
video	post_page_15704546335	15704546335_503890706750275	https://www.facebook.com/FoxNews/videos/503890706750275/	"The flag flies at half staff at The White House in honor of war hero and Arizona Senator John McCain. https://fxn.ws/2BI4XK1"	https://scontent.xx.fbcdn.net/v/t15.5256-10/s130x130/38951978_503912633414749_8831492095416991744_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=249ced549701736d769feb2e9c54596f&oe=5CCE5730	https://scontent.xx.fbcdn.net/v/t15.5256-10/38951978_503912633414749_8831492095416991744_n.jpg?_nc_cat=104&_nc_ht=scontent.xx&oh=0ca2c13a0efd3c61d5c014a6d1527a86&oe=5CCAA2C2	https://www.facebook.com/FoxNews/videos/503890706750275/	facebook.com	2018-08-26T02:29:35+0000	1535250575	"2018-08-26 04:29:35"	15543	10100	24356	3966	38422	2825	225	106	5413	244	0
video	post_page_15704546335	15704546335_317712888789264	https://www.facebook.com/FoxNews/videos/317712888789264/	"Arizona Senator John McCain  a war hero who survived five years as a prisoner of war in Vietnam  served three decades in Congress and went on to become the Republican Party’s nominee for president in 2008  died Saturday. He was 81 years old. https://fxn.ws/2BI4XK1"	https://scontent.xx.fbcdn.net/v/t15.5256-10/p130x130/38087861_317714068789146_2276507016782413824_n.jpg?_nc_cat=106&_nc_ht=scontent.xx&oh=a0fdbcdbab8e083f1eae036290048629&oe=5CC40AF2	https://scontent.xx.fbcdn.net/v/t15.5256-10/38087861_317714068789146_2276507016782413824_n.jpg?_nc_cat=106&_nc_ht=scontent.xx&oh=8cfcd616b91808351deb0bc85a6b5a64&oe=5CB6ED13	https://www.facebook.com/FoxNews/videos/317712888789264/	facebook.com	2018-08-26T02:00:01+0000	1535248801	"2018-08-26 04:00:01"	5839	4015	10865	3930	18810	734	243	66	3889	94	0
